id,nome,data_nascimento,cpf,cep,cidade,estado,pais,genero,telefone,email,data_cadastro
a86baf92-02ac-4187-8223-9b833f9c8a6a,Ana Beatriz Caldeira,1959-10-03,072.348.792-55,47944-438,da Paz,RJ,Brasil,M,+55 (041) 6553-7794,07234879255@exemplo.com.br,2025-04-21
3f6e0e43-395a-4a2c-9eb6-5fbef213f6af,Melissa Almeida,1952-09-29,078.836.293-59,47264-905,Abreu,RO,Brasil,M,+55 (051) 2090 5274,07883629359@exemplo.com.br,2024-01-14
adfd718b-20e4-4e47-9767-51029f43632c,Sophia Barros,2000-07-24,682.334.370-75,77247226,Siqueira,ES,Brasil,F,51 3446 1894,68233437075@exemplo.com.br,2024-03-07
8e407fc9-f1e1-4454-bbb6-d8d1406697a8,João Pedro Viana,2006-01-23,856.707.614-87,81618-605,Freitas,PI,Brasil,M,71 7530 2779,85670761487@exemplo.com.br,2024-10-30
6eab65ae-9ff8-475b-8823-7e41e394d011,Luna da Luz,1960-09-28,320.123.001-62,61382240,da Rocha,ES,Brasil,M,(011) 1057-5474,32012300162@exemplo.com.br,2023-07-13
3597ef87-8b87-4dc9-88b8-5adabdf3decb,Murilo Alves,1964-03-02,513.068.253-09,14742-617,Pires do Oeste,MA,Brasil,M,61 3271 9273,51306825309@exemplo.com.br,2025-01-21
81baef3a-ce13-4a85-8dd7-c4c928de5afa,Dra. Marcela Sampaio,1978-08-18,973.566.296-80,44057-052,da Conceição de Rocha,MS,Brasil,M,+55 71 7535-9239,97356629680@exemplo.com.br,2024-07-22
6059f0c5-0450-4016-95f7-691a8034637b,Marcos Vinicius Santos,1941-03-07,476.216.335-25,98399-807,Pastor,MG,Brasil,M,31 8763-9421,47621633525@exemplo.com.br,2024-08-11
860f98d0-3e9c-4f14-9ef2-3d9c9a37854b,Carolina Cunha,2001-01-24,193.789.421-07,45071636,Fonseca de Barbosa,RS,Brasil,F,+55 (084) 1056 4953,19378942107@exemplo.com.br,2024-02-03
81ef55d0-1bf3-46a5-8ed5-9f943ace05b8,Maysa Cavalcanti,1955-01-09,239.604.459-96,26990-415,Moura da Serra,RS,Brasil,M,+55 (061) 6004-5970,23960445996@exemplo.com.br,2025-03-01
b13b69c5-404a-4c53-b94a-606ff26a9ce8,Mateus Gonçalves,1977-01-11,879.989.811-20,02903-875,Almeida,GO,Brasil,M,+55 (051) 9750 2967,87998981120@exemplo.com.br,2024-05-10
b4c7c4ea-7e24-4bb5-bf35-8d9f0e39247e,Dra. Bella Dias,1992-04-08,739.513.619-91,38012042,Fernandes de da Costa,GO,Brasil,M,0800-579-5934,73951361991@exemplo.com.br,2024-03-07
0d4a7f96-5c07-4d26-a526-60bae7ecb536,Camila Montenegro,1996-05-16,149.059.920-71,63735660,Almeida,AP,Brasil,M,(084) 7930 1110,14905992071@exemplo.com.br,2024-08-22
4ef33f88-289d-4e5a-9e5b-6dc4cf340389,Theodoro Brito,1985-12-08,717.386.226-07,77587017,Rezende,TO,Brasil,M,+55 (011) 0589-2179,71738622607@exemplo.com.br,2025-02-21
355eefe0-89d5-469d-bcaf-1633537b8ff0,Nina da Rocha,1997-03-24,359.937.966-64,73198-807,da Mata,AM,Brasil,M,+55 61 1825-3896,35993796664@exemplo.com.br,2025-01-22
bc5aa24d-f97c-4369-91af-e135e28d1cbf,José Pedro Peixoto,1996-04-27,669.772.442-65,55927-530,Costela de Rocha,RS,Brasil,M,+55 81 8580-6305,66977244265@exemplo.com.br,2024-09-02
49b3aec4-3291-4198-9be9-909f02c12863,Daniel Cavalcanti,1992-04-21,187.296.494-16,82367946,Caldeira,AM,Brasil,F,(081) 4930-8272,18729649416@exemplo.com.br,2023-09-05
e23f5869-dcc2-45dc-b90f-7839210deb6b,Ísis Sampaio,1979-04-02,675.224.161-34,98698031,Rocha,AC,Brasil,M,0900 605 1190,67522416134@exemplo.com.br,2025-04-18
654db1a6-7976-4630-8bb9-01fc4e1e0e5e,Srta. Catarina Camargo,1952-11-19,409.917.174-45,80983-800,Moraes de Ribeiro,MA,Brasil,F,+55 (084) 2453 8209,40991717445@exemplo.com.br,2023-06-20
26f3bbfd-5e3d-48e9-9e9a-b6499c6a0760,Milena da Cunha,1938-07-02,998.067.450-78,10070-523,Caldeira do Oeste,RJ,Brasil,F,41 9709-4865,99806745078@exemplo.com.br,2024-02-04
62c96c8a-886e-47ed-a54d-e199e71e1c8c,Kamilly Alves,1998-02-15,280.133.126-25,67719-030,Macedo,RJ,Brasil,M,+55 (021) 1563-0145,28013312625@exemplo.com.br,2025-02-22
e8cf0b41-4c0b-4f86-8d68-35b10cdc4431,Maria Julia da Mata,1952-12-22,554.292.379-64,78893954,Jesus,MT,Brasil,M,(011) 5079-8723,55429237964@exemplo.com.br,2024-09-02
faf25071-9514-47e1-bd09-a6f65ef89744,Bruna Oliveira,1985-05-02,575.752.024-39,55213970,Barbosa,MA,Brasil,F,+55 71 7871 9238,57575202439@exemplo.com.br,2024-01-12
2abd4ad9-5c2f-44eb-9040-b1ac63cc0e42,Isadora Machado,1973-04-02,731.262.703-36,51698-494,Carvalho de Brito,AC,Brasil,F,71 5479 9074,73126270336@exemplo.com.br,2023-10-09
b0a50f5b-985f-4bec-859b-f6937bdd0270,Jade Garcia,1934-09-10,301.669.387-72,71712671,Pereira,RR,Brasil,F,21 1067 9236,30166938772@exemplo.com.br,2023-12-17
a0ee8ed1-c2dd-465b-949d-fe83a2144cb5,Dr. Rhavi Campos,1982-11-07,319.297.825-08,43231753,Souza,PI,Brasil,M,+55 (041) 1573-4201,31929782508@exemplo.com.br,2025-04-22
1a6e9d95-2ecb-4672-bad1-bb7302ad3f70,Arthur da Cruz,2001-10-16,539.044.565-67,50825-245,Nascimento,MG,Brasil,M,+55 61 9169-5392,53904456567@exemplo.com.br,2024-09-25
613b6c80-ab4e-4daa-9bfb-d8bc511ffcd7,Bianca Borges,1936-10-03,845.553.334-85,38175-528,Borges da Mata,MS,Brasil,F,+55 (081) 7580-3742,84555333485@exemplo.com.br,2024-04-21
e218fa89-8b95-4ca5-b551-e614571ca026,Clara da Mota,1934-07-19,414.428.373-59,11978140,Carvalho,GO,Brasil,M,(051) 7975-2630,41442837359@exemplo.com.br,2024-05-05
036429e4-0820-4361-8791-45ff3a1d5a09,Enzo Gabriel Araújo,1965-06-20,583.258.793-97,34514-432,Vargas Grande,BA,Brasil,M,61 1238-2528,58325879397@exemplo.com.br,2023-11-22
25c62af9-c434-4873-a9dd-cf58dff2fcc6,Dra. Heloisa Lima,1974-09-27,155.740.184-32,51490-669,Costela,SE,Brasil,F,31 6270-5847,15574018432@exemplo.com.br,2024-10-04
987be2e8-ba5d-4402-b9a4-95ff37b459ad,João Gabriel Araújo,1938-08-20,654.768.297-55,15698912,Pastor dos Dourados,PE,Brasil,M,+55 (061) 4964-5675,65476829755@exemplo.com.br,2024-06-26
72cd302d-78d2-49e3-9e70-4029bd7cc348,Gustavo Henrique Machado,1959-10-07,579.560.675-44,93249801,Ribeiro,PB,Brasil,F,+55 (084) 7339-2450,57956067544@exemplo.com.br,2024-07-17
